obat,kontraindikasi
Cetirizine,Interaksi serius dengan obat pengencer darah
Metformin,Interaksi serius dengan obat pengencer darah
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Hindari jika memiliki gangguan hati berat
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Tidak disarankan untuk ibu hamil
Losartan,Tidak disarankan untuk ibu hamil
Paracetamol,Tidak disarankan untuk ibu hamil
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Tidak disarankan untuk ibu hamil
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Tidak disarankan untuk ibu hamil
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Tidak boleh digunakan dengan alkohol
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Tidak boleh digunakan dengan alkohol
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari jika memiliki gangguan hati berat
Cetirizine,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Cetirizine,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Interaksi serius dengan obat pengencer darah
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Interaksi serius dengan obat pengencer darah
Clopidogrel,Tidak boleh digunakan dengan alkohol
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Cetirizine,Hindari jika memiliki tukak lambung aktif
Diazepam,Hindari jika memiliki gangguan hati berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Interaksi serius dengan obat pengencer darah
Aspirin,Hindari jika memiliki gangguan hati berat
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Simvastatin,Tidak disarankan untuk ibu hamil
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Tidak disarankan untuk ibu hamil
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Hindari jika memiliki tukak lambung aktif
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Interaksi serius dengan obat pengencer darah
Levothyroxine,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Hindari jika memiliki tukak lambung aktif
Omeprazole,Interaksi serius dengan obat pengencer darah
Metformin,Hindari jika memiliki gangguan hati berat
Simvastatin,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki gangguan hati berat
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Ibuprofen,Tidak disarankan untuk ibu hamil
Levothyroxine,Interaksi serius dengan obat pengencer darah
Furosemide,Tidak boleh digunakan dengan alkohol
Paracetamol,Tidak disarankan untuk ibu hamil
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Tidak disarankan untuk ibu hamil
Paracetamol,Tidak boleh digunakan dengan alkohol
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Hindari jika memiliki tukak lambung aktif
Furosemide,Interaksi serius dengan obat pengencer darah
Amoxicillin,Tidak boleh digunakan dengan alkohol
Ibuprofen,Hindari jika memiliki gangguan hati berat
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Levothyroxine,Interaksi serius dengan obat pengencer darah
